Project	MAGs
Aged kaolinite enhanced biochar microbial communities from soil in Sydney, Australia	2
Agricultural soil microbial communities from Georgia to study Nitrogen management	82
Agricultural soil microbial communities from Tamara ranch near Red Deer, Alberta, Canada	1
Agricultural soil microbial communities from Utah to study Nitrogen management	129
Amended soil microbial communities from Fox Creek, Alberta, Canada	4
Amended soil microbial communities from Kansas Great Prairies, USA	8
Aphanothece sp. CMT-3BRIN-NPC111 and co-occurring heterotrophs from soil crust from Clark Mountains Wilderness, California, United States	6
Arctic peat soil microbial communities from Barrow, Alaska	504
Arctic peat soil microbial communities from Barrow, Alaska, USA	29
Arctic peat soil microbial communities from the Barrow Environmental Observatory site, Barrow, Alaska, USA	95
Arctic sediment microbial communities from supraglacial cryoconite, Rabots glacier, Tarfala, Sweden 	22
Arctic sediment microbial communities from supraglacial cryoconite, Storglaciaren, Tarfala, Sweden 	19
Arctic soil microbial communities form glacier forefield, Midre Lovenbreen, Svalbard, Norway 	10
Arctic soil microbial communities from a glacier forefield, Rabots glacier, Tarfala, Sweden 	18
Arctic soil microbial communities from a glacier forefield, Russell Glacier, Kangerlussuaq, Greenland 	96
Arctic soil microbial communities from a glacier forefield, Storglaciaren, Tarfala, Sweden 	54
BW MetaG CoAssembly	242
Backyard soil microbial communities from Emeryville, California, USA	29
Beach sand microbial communities from Municipal Pensacola Beach, Florida	3
Biocrust microbial communities from Canyonlands National Park, Utah, United States	7
Biocrust microbial communities from Mojave Desert, California, United States	39
Biological soil crust microbial communities from Mojave Desert, California, United States	12
Bog forest soil microbial communities from Calvert Island, British Columbia, Canada	26
Brasilonema angustatum HA4187-MV1 and co-occurring heterotrophs from soil from Manoa Valley, Honolulu, Hawaii, United States	3
Bulk soil microbial communities from Mexico	5
Bulk soil microbial communities from a Populus tree surrounding site in Tennessee, USA	95
Bulk soil microbial communities from poplar common garden site in Clatskanie, Oregon, USA	721
Bulk soil microbial communities from poplar common garden site in Corvallis, Oregon, USA	111
Bulk soil microbial communities from switchgrass field near Rose Lake, East Lansing, Michigan, USA	7
Bulk soil microbial communities from the East River watershed near Crested Butte, Colorado, United States	83
Bulk soil microbial communities from the field in Mead, Nebraska, USA	1
Calothrix sp. FI2-JRJ7 and co-occurring heterotrophs from soil from Red Pass Lake area, Fort Irwin, California, United States	5
Chroococcus sp. CMT-3BRIN-NPC107 and co-occurring heterotrophs from soil crust from Clark Mountains Wilderness, California, United States	8
Co-assembly of Harvard Forest metagenomes from Barre Woods	817
Combined assembly ER_DNA	74
Combined assembly SIP soil	4
Combined assembly of SIP viromes	2
Contaminated culture microbial community from soil near Moab, Utah, USA	36
Core terrestrial soil microbial communities from LBJ National Grassland , Southern Plains, TX, USA	1
Core terrestrial soil microbial communities from Oak Ridge, Appalachians & Cumberland Plateau, TN, USA	1
Core terrestrial soil microbial communities from Onaqui, Great Basin, UT, USA	1
