#SampleID	Metaphlan2_Analysis
d__Archaea	38
d__Archaea|p__	38
d__Archaea|p__|c__	38
d__Archaea|p__|c__|o__	38
d__Archaea|p__|c__|o__|f__	38
d__Archaea|p__|c__|o__|f__|g__	38
d__Archaea|p__|c__|o__|f__|g__|s__	38
d__Bacteria	1092
d__Bacteria|p__Acidobacteriota	181
d__Bacteria|p__Acidobacteriota|c__Acidobacteriae	108
d__Bacteria|p__Acidobacteriota|c__Acidobacteriae|o__20CM-2-55-15	1
d__Bacteria|p__Acidobacteriota|c__Acidobacteriae|o__20CM-2-55-15|f__20CM-2-55-15	1
d__Bacteria|p__Acidobacteriota|c__Acidobacteriae|o__20CM-2-55-15|f__20CM-2-55-15|g__	1
d__Bacteria|p__Acidobacteriota|c__Acidobacteriae|o__20CM-2-55-15|f__20CM-2-55-15|g__|s__	1
d__Bacteria|p__Acidobacteriota|c__Acidobacteriae|o__Acidobacteriales	53
d__Bacteria|p__Acidobacteriota|c__Acidobacteriae|o__Acidobacteriales|f__	1
d__Bacteria|p__Acidobacteriota|c__Acidobacteriae|o__Acidobacteriales|f__|g__	1
d__Bacteria|p__Acidobacteriota|c__Acidobacteriae|o__Acidobacteriales|f__|g__|s__	1
d__Bacteria|p__Acidobacteriota|c__Acidobacteriae|o__Acidobacteriales|f__Acidobacteriaceae	16
d__Bacteria|p__Acidobacteriota|c__Acidobacteriae|o__Acidobacteriales|f__Acidobacteriaceae|g__	1
d__Bacteria|p__Acidobacteriota|c__Acidobacteriae|o__Acidobacteriales|f__Acidobacteriaceae|g__|s__	1
d__Bacteria|p__Acidobacteriota|c__Acidobacteriae|o__Acidobacteriales|f__Acidobacteriaceae|g__Edaphobacter	2
d__Bacteria|p__Acidobacteriota|c__Acidobacteriae|o__Acidobacteriales|f__Acidobacteriaceae|g__Edaphobacter|s__	2
d__Bacteria|p__Acidobacteriota|c__Acidobacteriae|o__Acidobacteriales|f__Acidobacteriaceae|g__Granulicella_A	1
d__Bacteria|p__Acidobacteriota|c__Acidobacteriae|o__Acidobacteriales|f__Acidobacteriaceae|g__Granulicella_A|s__	1
d__Bacteria|p__Acidobacteriota|c__Acidobacteriae|o__Acidobacteriales|f__Acidobacteriaceae|g__Granulicella_D	1
d__Bacteria|p__Acidobacteriota|c__Acidobacteriae|o__Acidobacteriales|f__Acidobacteriaceae|g__Granulicella_D|s__	1
d__Bacteria|p__Acidobacteriota|c__Acidobacteriae|o__Acidobacteriales|f__Acidobacteriaceae|g__KBS-83	2
