GTDB-Tk Taxonomy Lineage	n
Bacteria|Acidobacteriota|Acidobacteriae|20CM-2-55-15|20CM-2-55-15	1
Bacteria|Acidobacteriota|Acidobacteriae|Acidobacteriales	1
Bacteria|Acidobacteriota|Acidobacteriae|Acidobacteriales|Acidobacteriaceae	1
Bacteria|Acidobacteriota|Acidobacteriae|Acidobacteriales|Acidobacteriaceae|Edaphobacter	2
Bacteria|Acidobacteriota|Acidobacteriae|Acidobacteriales|Acidobacteriaceae|Granulicella_A	1
Bacteria|Acidobacteriota|Acidobacteriae|Acidobacteriales|Acidobacteriaceae|Granulicella_D	1
Bacteria|Acidobacteriota|Acidobacteriae|Acidobacteriales|Acidobacteriaceae|KBS-83	2
Bacteria|Acidobacteriota|Acidobacteriae|Acidobacteriales|Acidobacteriaceae|PALSA-350	1
Bacteria|Acidobacteriota|Acidobacteriae|Acidobacteriales|Acidobacteriaceae|Palsa-343	1
Bacteria|Acidobacteriota|Acidobacteriae|Acidobacteriales|Acidobacteriaceae|Terracidiphilus	3
Bacteria|Acidobacteriota|Acidobacteriae|Acidobacteriales|Acidobacteriaceae|Tous-C9LFEB	1
Bacteria|Acidobacteriota|Acidobacteriae|Acidobacteriales|Acidobacteriaceae|UBA5172	3
Bacteria|Acidobacteriota|Acidobacteriae|Acidobacteriales|CAINCZ01	1
Bacteria|Acidobacteriota|Acidobacteriae|Acidobacteriales|CAINCZ01|JAFAIN01	1
Bacteria|Acidobacteriota|Acidobacteriae|Acidobacteriales|Gp1-AA112	1
Bacteria|Acidobacteriota|Acidobacteriae|Acidobacteriales|Gp1-AA117|Gp1-AA17	4
Bacteria|Acidobacteriota|Acidobacteriae|Acidobacteriales|SbA1	3
Bacteria|Acidobacteriota|Acidobacteriae|Acidobacteriales|SbA1|40CM-3-55-5	1
Bacteria|Acidobacteriota|Acidobacteriae|Acidobacteriales|SbA1|Bog-209	2
Bacteria|Acidobacteriota|Acidobacteriae|Acidobacteriales|SbA1|Gp1-AA124	1
Bacteria|Acidobacteriota|Acidobacteriae|Acidobacteriales|SbA1|Gp1-AA133	1
Bacteria|Acidobacteriota|Acidobacteriae|Acidobacteriales|SbA1|Gp1-AA145	1
Bacteria|Acidobacteriota|Acidobacteriae|Acidobacteriales|SbA1|PALSA-188	1
Bacteria|Acidobacteriota|Acidobacteriae|Acidobacteriales|SbA1|PALSA-270	2
Bacteria|Acidobacteriota|Acidobacteriae|Acidobacteriales|SbA1|QIAJ01	1
Bacteria|Acidobacteriota|Acidobacteriae|Acidobacteriales|SbA1|Sulfotelmatobacter	15
Bacteria|Acidobacteriota|Acidobacteriae|Acidobacteriales|SbA1|Sulfotelmatobacter|Sulfotelmatobacter sp003166855	1
Bacteria|Acidobacteriota|Acidobacteriae|Acidoferrales|UBA7541	2
Bacteria|Acidobacteriota|Acidobacteriae|Acidoferrales|UBA7541|Acidoferrum	18
Bacteria|Acidobacteriota|Acidobacteriae|Acidoferrales|UBA7541|Palsa-147	1
Bacteria|Acidobacteriota|Acidobacteriae|Acidoferrales|UBA7541|Palsa-295	17
Bacteria|Acidobacteriota|Acidobacteriae|Acidoferrales|UBA7541|Palsa-295|Palsa-295 sp003156635	2
Bacteria|Acidobacteriota|Acidobacteriae|Bryobacterales|Bryobacteraceae	1
Bacteria|Acidobacteriota|Acidobacteriae|Bryobacterales|Bryobacteraceae|BOG-234	3
Bacteria|Acidobacteriota|Acidobacteriae|Bryobacterales|Bryobacteraceae|Bog-105	3
Bacteria|Acidobacteriota|Acidobacteriae|Bryobacterales|Bryobacteraceae|PALSA-243	1
Bacteria|Acidobacteriota|Acidobacteriae|Bryobacterales|Bryobacteraceae|Palsa-89	1
Bacteria|Acidobacteriota|Acidobacteriae|Bryobacterales|Bryobacteraceae|Solibacter	3
Bacteria|Acidobacteriota|Acidobacteriae|UBA7540|UBA7540	1
Bacteria|Acidobacteriota|Acidobacteriae|UBA7540|UBA7540|Gp13-AA77	1
Bacteria|Acidobacteriota|Blastocatellia|Pyrinomonadales|Pyrinomonadaceae	3
Bacteria|Acidobacteriota|Blastocatellia|Pyrinomonadales|Pyrinomonadaceae|JACMLC01	1
Bacteria|Acidobacteriota|Blastocatellia|Pyrinomonadales|Pyrinomonadaceae|PSRF01	9
Bacteria|Acidobacteriota|Blastocatellia|Pyrinomonadales|Pyrinomonadaceae|QHXM01	2
Bacteria|Acidobacteriota|Blastocatellia|Pyrinomonadales|Pyrinomonadaceae|UBA11740	10
Bacteria|Acidobacteriota|Blastocatellia|RBC074|RBC074	1
Bacteria|Acidobacteriota|Blastocatellia|RBC074|RBC074|JADJLO01	1
Bacteria|Acidobacteriota|Blastocatellia|UBA7656|UBA7656|JADGNW01	2
Bacteria|Acidobacteriota|Thermoanaerobaculia|Gp7-AA8|Gp7-AA8	1
Bacteria|Acidobacteriota|Thermoanaerobaculia|Gp7-AA8|Gp7-AA8|QHVT01	4
Bacteria|Acidobacteriota|Thermoanaerobaculia|UBA5066|Gp7-AA6	1
Bacteria|Acidobacteriota|Thermoanaerobaculia|UBA5066|Gp7-AA6|Gp7-AA6	3
Bacteria|Acidobacteriota|Thermoanaerobaculia|UBA5066|UBA5066|Fen-183	1
Bacteria|Acidobacteriota|Thermoanaerobaculia|UBA5704|UBA5704	3
Bacteria|Acidobacteriota|Thermoanaerobaculia|UBA5704|UBA5704|UBA5704	7
Bacteria|Acidobacteriota|UBA6911|UBA6911|UBA6911	1
Bacteria|Acidobacteriota|Vicinamibacteria|Fen-336|Fen-336	4
Bacteria|Acidobacteriota|Vicinamibacteria|Fen-336|Fen-336|WYBL01	1
Bacteria|Acidobacteriota|Vicinamibacteria|Vicinamibacterales|2-12-FULL-66-21	3
Bacteria|Acidobacteriota|Vicinamibacteria|Vicinamibacterales|2-12-FULL-66-21|2-12-FULL-66-21	1
Bacteria|Acidobacteriota|Vicinamibacteria|Vicinamibacterales|2-12-FULL-66-21|JACCXG01	1
Bacteria|Acidobacteriota|Vicinamibacteria|Vicinamibacterales|SCN-69-37	1
Bacteria|Acidobacteriota|Vicinamibacteria|Vicinamibacterales|UBA2999	4
Bacteria|Acidobacteriota|Vicinamibacteria|Vicinamibacterales|UBA2999|Gp6-AA45	5
Bacteria|Acidobacteriota|Vicinamibacteria|Vicinamibacterales|UBA2999|JADGOC01	1
Bacteria|Acidobacteriota|Vicinamibacteria|Vicinamibacterales|Vicinamibacteraceae	1
Bacteria|Acidobacteriota|Vicinamibacteria|Vicinamibacterales|Vicinamibacteraceae|WHTT01	1
Bacteria|Actinobacteriota	6
Bacteria|Actinobacteriota|Acidimicrobiia|Acidimicrobiales	2
Bacteria|Actinobacteriota|Acidimicrobiia|Acidimicrobiales|Bog-793|Fen-455|Fen-455 sp003170375	1
Bacteria|Actinobacteriota|Acidimicrobiia|Acidimicrobiales|Bog-793|Palsa-601	1
Bacteria|Actinobacteriota|Acidimicrobiia|Acidimicrobiales|Ilumatobacteraceae|Desertimonas	2
Bacteria|Actinobacteriota|Acidimicrobiia|Acidimicrobiales|Ilumatobacteraceae|JACCUL01	2
Bacteria|Actinobacteriota|Acidimicrobiia|Acidimicrobiales|Ilumatobacteraceae|JAENVT01	1
Bacteria|Actinobacteriota|Acidimicrobiia|Acidimicrobiales|JACDCH01	5
Bacteria|Actinobacteriota|Acidimicrobiia|Acidimicrobiales|JACDCH01|VFJN01	1
Bacteria|Actinobacteriota|Acidimicrobiia|Acidimicrobiales|JACDCH01|ZC4RG19	2
Bacteria|Actinobacteriota|Acidimicrobiia|Acidimicrobiales|JADJXE01	1
Bacteria|Actinobacteriota|Acidimicrobiia|Acidimicrobiales|Palsa-688|PALSA-693	1
Bacteria|Actinobacteriota|Acidimicrobiia|Acidimicrobiales|RAAP-2	1
Bacteria|Actinobacteriota|Acidimicrobiia|Acidimicrobiales|RAAP-2|Bog-473	3
Bacteria|Actinobacteriota|Acidimicrobiia|Acidimicrobiales|RAAP-2|Bog-756	3
Bacteria|Actinobacteriota|Acidimicrobiia|Acidimicrobiales|RAAP-2|Bog-756|Bog-756 sp003138855	1
Bacteria|Actinobacteriota|Acidimicrobiia|Acidimicrobiales|RAAP-2|Palsa-461	1
Bacteria|Actinobacteriota|Acidimicrobiia|Acidimicrobiales|RAAP-2|RAAP-2	1
Bacteria|Actinobacteriota|Acidimicrobiia|Acidimicrobiales|UBA8139	1
Bacteria|Actinobacteriota|Acidimicrobiia|Acidimicrobiales|UBA8139|JACPNV01	1
Bacteria|Actinobacteriota|Acidimicrobiia|Acidimicrobiales|UBA8190	1
Bacteria|Actinobacteriota|Acidimicrobiia|IMCC26256|PALSA-555	7
Bacteria|Actinobacteriota|Acidimicrobiia|IMCC26256|PALSA-555|JACDBD01	2
Bacteria|Actinobacteriota|Acidimicrobiia|IMCC26256|PALSA-610	1
Bacteria|Actinobacteriota|Acidimicrobiia|IMCC26256|PALSA-610|PALSA-610	2
Bacteria|Actinobacteriota|Acidimicrobiia|UBA5794|ZC4RG35	1
Bacteria|Actinobacteriota|Acidimicrobiia|UBA5794|ZC4RG35|SZUA-217	3
Bacteria|Actinobacteriota|Actinomycetia	7
Bacteria|Actinobacteriota|Actinomycetia|Acidothermales|Acidothermaceae|PALSA-607	2
Bacteria|Actinobacteriota|Actinomycetia|Actinomycetales|Dermatophilaceae	1
Bacteria|Actinobacteriota|Actinomycetia|Actinomycetales|Dermatophilaceae|Lapillicoccus	3
Bacteria|Actinobacteriota|Actinomycetia|Actinomycetales|Dermatophilaceae|UBA4719	1
Bacteria|Actinobacteriota|Actinomycetia|Actinomycetales|Microbacteriaceae|Galbitalea	1
Bacteria|Actinobacteriota|Actinomycetia|Actinomycetales|Microbacteriaceae|Lacisediminihabitans	2
Bacteria|Actinobacteriota|Actinomycetia|Actinomycetales|Microbacteriaceae|Leifsonia_B	1
