uid,namedLocation,domainID,siteID,plotID,plotType,collectDate,samplingProtocolVersion,sampleID,sampleCode,kclSampleID,kclSampleCode,incubationPairID,nTransBoutType,incubationLength,extractionStartDate,kclReferenceID,soilFreshMass,kclVolume,extractionEndDate,sampleCondition,remarks,processedBy,recordedBy,dataQF,publicationDate,release
afd6eff0-84c1-4a95-92a4-63f3049f37fa,HARV_002.basePlot.bgc,D01,HARV,HARV_002,distributed,2018-04-17T14:09Z,NEON.DOC.014048vK,HARV_002-M-9.5-1.5-20180417,A00000001239,HARV_002-M-9.5-1.5-20180417-KCL,B00000006284,HARV_002-M-9.5-1.5,tInitial,0,2018-04-18T15:44Z,HARV-20180418-BRef1,10.03,100,2018-04-18T19Z,OK,,ewallis@battelleecology.org,hbartholomaus@battelleecology.org,,20211221T232840Z,RELEASE-2022
9ad0a3a6-b66d-4b6e-8187-5cc31b183814,HARV_002.basePlot.bgc,D01,HARV,HARV_002,distributed,2018-04-17T14:55Z,NEON.DOC.014048vK,HARV_002-M-34.5-24-20180417,A00000001238,HARV_002-M-34.5-24-20180417-KCL,B00000006271,HARV_002-M-34.5-24,tInitial,0,2018-04-18T16:50Z,HARV-20180418-BRef1,10.11,100.1,2018-04-18T19Z,OK,,ewallis@battelleecology.org,hbartholomaus@battelleecology.org,,20211221T232840Z,RELEASE-2022
71ffbe79-1765-4bc2-ac92-9be2147b660e,HARV_002.basePlot.bgc,D01,HARV,HARV_002,distributed,2018-04-17T14:55Z,NEON.DOC.014048vK,HARV_002-O-34.5-24-20180417,A00000001236,HARV_002-O-34.5-24-20180417-KCL,B00000006269,HARV_002-O-34.5-24,tInitial,0,2018-04-18T16:27Z,HARV-20180418-BRef1,10.08,100,2018-04-18T19Z,OK,,ewallis@battelleecology.org,hbartholomaus@battelleecology.org,,20211221T232840Z,RELEASE-2022
2da973a7-9a0b-42e6-9a0a-ecaf3a90b7dd,HARV_002.basePlot.bgc,D01,HARV,HARV_002,distributed,2018-04-17T15:07Z,NEON.DOC.014048vK,HARV_002-O-28.5-1.5-20180417,A00000001234,HARV_002-O-28.5-1.5-20180417-KCL,B00000006278,HARV_002-O-28.5-1.5,tInitial,0,2018-04-18T16:10Z,HARV-20180418-BRef1,9.93,100,2018-04-18T19Z,OK,,ewallis@battelleecology.org,hbartholomaus@battelleecology.org,,20211221T232840Z,RELEASE-2022
6439b637-07c5-42ba-81a7-84ce370fd7cc,HARV_002.basePlot.bgc,D01,HARV,HARV_002,distributed,2018-04-17T15:07Z,NEON.DOC.014048vK,HARV_002-M-28.5-1.5-20180417,A00000001237,HARV_002-M-28.5-1.5-20180417-KCL,B00000006287,HARV_002-M-28.5-1.5,tInitial,0,2018-04-18T15:52Z,HARV-20180418-BRef1,10.04,100,2018-04-18T19Z,OK,,ewallis@battelleecology.org,hbartholomaus@battelleecology.org,,20211221T232840Z,RELEASE-2022
8feb7dd3-4a29-45d2-8446-57fafbeb9ade,HARV_005.basePlot.bgc,D01,HARV,HARV_005,distributed,2018-04-17T16:36Z,NEON.DOC.014048vK,HARV_005-O-12.5-38-20180417,A00000001247,HARV_005-O-12.5-38-20180417-KCL,B00000006321,"",tInitial,0,2018-04-18T16:30Z,HARV-20180418-BRef1,10.07,100,2018-04-18T18Z,OK,,ewallis@battelleecology.org,hbartholomaus@battelleecology.org,,20211221T232840Z,RELEASE-2022
d664952b-7321-41bb-8444-0b8613e30e8e,HARV_005.basePlot.bgc,D01,HARV,HARV_005,distributed,2018-04-17T17:09Z,NEON.DOC.014048vK,HARV_005-M-12.5-38-20180417,A00000001242,HARV_005-M-12.5-38-20180417-KCL,B00000006272,"",tInitial,0,2018-04-18T16:00Z,HARV-20180418-BRef1,10.09,100,2018-04-18T19Z,OK,,ewallis@battelleecology.org,hbartholomaus@battelleecology.org,,20211221T232840Z,RELEASE-2022
90ac5609-75cc-4dba-9f48-b3ee7b96cf26,HARV_021.basePlot.bgc,D01,HARV,HARV_021,distributed,2018-04-17T17:16Z,NEON.DOC.014048vK,HARV_021-O-1-22.5-20180417,A00000001283,HARV_021-O-1-22.5-20180417-KCL,B00000006291,HARV_021-O-1-22.5,tInitial,0,2018-04-18T16:24Z,HARV-20180418-BRef1,10.3,100,2018-04-18T19Z,OK,,ewallis@battelleecology.org,hbartholomaus@battelleecology.org,,20211221T232840Z,RELEASE-2022
de01129d-a991-4fb7-931c-34af5918ee35,HARV_005.basePlot.bgc,D01,HARV,HARV_005,distributed,2018-04-17T17:24Z,NEON.DOC.014048vK,HARV_005-O-36-21-20180417,A00000001245,HARV_005-O-36-21-20180417-KCL,B00000006308,HARV_005-O-36-21,tInitial,0,2018-04-18T16:34Z,HARV-20180418-BRef1,10.14,100.1,2018-04-18T19Z,OK,,ewallis@battelleecology.org,hbartholomaus@battelleecology.org,,20211221T232840Z,RELEASE-2022
429f2d6c-d5cd-4d22-9a63-3dec1b649ab0,HARV_021.basePlot.bgc,D01,HARV,HARV_021,distributed,2018-04-17T17:26Z,NEON.DOC.014048vK,HARV_021-M-1-22.5-20180417,A00000001262,HARV_021-M-1-22.5-20180417-KCL,B00000006275,HARV_021-M-1-22.5,tInitial,0,2018-04-18T13:26Z,HARV-20180418-BRef1,10.05,100,2018-04-18T18Z,OK,,ewallis@battelleecology.org,hbartholomaus@battelleecology.org,,20211221T232840Z,RELEASE-2022
c2554894-552e-459c-b4b8-e0ec12db60e4,HARV_005.basePlot.bgc,D01,HARV,HARV_005,distributed,2018-04-17T17:36Z,NEON.DOC.014048vK,HARV_005-M-36-21-20180417,A00000001244,HARV_005-M-36-21-20180417-KCL,B00000006322,HARV_005-M-36-21,tInitial,0,2018-04-18T15:16Z,HARV-20180418-BRef1,9.99,100,2018-04-18T19Z,OK,,ewallis@battelleecology.org,hbartholomaus@battelleecology.org,,20211221T232840Z,RELEASE-2022
ac4b6c83-9013-4ae0-824e-f333b2fe691a,HARV_021.basePlot.bgc,D01,HARV,HARV_021,distributed,2018-04-17T17:43Z,NEON.DOC.014048vK,HARV_021-O-16.5-6-20180417,A00000001282,HARV_021-O-16.5-6-20180417-KCL,B00000006309,HARV_021-O-16.5-6,tInitial,0,2018-04-18T16:20Z,HARV-20180418-BRef1,10.1,100,2018-04-18T19Z,OK,,ewallis@battelleecology.org,hbartholomaus@battelleecology.org,,20211221T232840Z,RELEASE-2022
02c27495-aa39-4097-b223-046d40e49337,HARV_005.basePlot.bgc,D01,HARV,HARV_005,distributed,2018-04-17T17:48Z,NEON.DOC.014048vK,HARV_005-M-21.5-5.5-20180417,A00000001246,HARV_005-M-21.5-5.5-20180417-KCL,B00000006276,HARV_005-M-21.5-5.5,tInitial,0,2018-04-18T13:22Z,HARV-20180418-BRef1,10.01,100,2018-04-18T18Z,OK,,ewallis@battelleecology.org,hbartholomaus@battelleecology.org,,20211221T232840Z,RELEASE-2022
33fe6eca-e844-4dc8-9cb9-9262ab17cdb7,HARV_021.basePlot.bgc,D01,HARV,HARV_021,distributed,2018-04-17T17:52Z,NEON.DOC.014048vK,HARV_021-M-16.5-6-20180417,A00000001261,HARV_021-M-16.5-6-20180417-KCL,B00000006319,HARV_021-M-16.5-6,tInitial,0,2018-04-18T14:26Z,HARV-20180418-BRef1,10.04,100,2018-04-18T18Z,OK,,ewallis@battelleecology.org,hbartholomaus@battelleecology.org,,20211221T232840Z,RELEASE-2022
948a32a0-afb7-4372-bd62-753a243760ec,HARV_021.basePlot.bgc,D01,HARV,HARV_021,distributed,2018-04-17T18:10Z,NEON.DOC.014048vK,HARV_021-O-28.5-1-20180417,A00000001281,HARV_021-O-28.5-1-20180417-KCL,B00000006285,HARV_021-O-28.5-1,tInitial,0,2018-04-18T16:15Z,HARV-20180418-BRef1,10.1,100,2018-04-18T19Z,OK,,ewallis@battelleecology.org,hbartholomaus@battelleecology.org,,20211221T232840Z,RELEASE-2022
f36b06ab-fa8d-4d79-a258-2ff7e1cb759c,HARV_021.basePlot.bgc,D01,HARV,HARV_021,distributed,2018-04-17T18:21Z,NEON.DOC.014048vK,HARV_021-M-28.5-1-20180417,A00000001260,HARV_021-M-28.5-1-20180417-KCL,B00000006320,HARV_021-M-28.5-1,tInitial,0,2018-04-18T14:08Z,HARV-20180418-BRef1,10.09,100,2018-04-18T18Z,OK,,ewallis@battelleecology.org,hbartholomaus@battelleecology.org,,20211221T232840Z,RELEASE-2022
0f9c769e-900d-403c-8d08-f2ca86e9a375,HARV_013.basePlot.bgc,D01,HARV,HARV_013,distributed,2018-04-18T14:26Z,NEON.DOC.014048vK,HARV_013-O-10.5-37-20180418,A00000001284,HARV_013-O-10.5-37-20180418-KCL,B00000006288,HARV_013-O-10.5-37,tInitial,0,2018-04-19T15:00Z,HARV-20180419-BRef1,10.02,100,2018-04-19T19Z,OK,,scook@battelleecology.org,dmikros@battelleecology.org,,20211221T232840Z,RELEASE-2022
273999d6-838b-4eaf-8315-f6256333b7be,HARV_013.basePlot.bgc,D01,HARV,HARV_013,distributed,2018-04-18T14:33Z,NEON.DOC.014048vK,HARV_013-M-10.5-37-20180418,A00000001263,HARV_013-M-10.5-37-20180418-KCL,B00000006273,HARV_013-M-10.5-37,tInitial,0,2018-04-19T15:36Z,HARV-20180419-BRef1,10.24,100,2018-04-19T19Z,OK,,scook@battelleecology.org,dmikros@battelleecology.org,,20211221T232840Z,RELEASE-2022
5672ffba-1517-4829-8a3f-ae68e4b46931,HARV_033.basePlot.bgc,D01,HARV,HARV_033,tower,2018-04-18T14:41Z,NEON.DOC.014048vK,HARV_033-M-14.5-0-20180418,A00000001258,HARV_033-M-14.5-0-20180418-KCL,B00000006283,HARV_033-M-14.5-0,tInitial,0,2018-04-19T17:06Z,HARV-20180419-BRef1,10.36,100,2018-04-19T19Z,OK,,scook@battelleecology.org,dmikros@battelleecology.org,,20211221T232840Z,RELEASE-2022
152a46d2-5d3e-4626-97b6-0af1bf6937ef,HARV_013.basePlot.bgc,D01,HARV,HARV_013,distributed,2018-04-18T14:53Z,NEON.DOC.014048vK,HARV_013-O-30-30.5-20180418,A00000001267,HARV_013-O-30-30.5-20180418-KCL,B00000006282,HARV_013-O-30-30.5,tInitial,0,2018-04-19T15:27Z,HARV-20180419-BRef1,10.01,100,2018-04-19T18Z,OK,,scook@battelleecology.org,dmikros@battelleecology.org,,20211221T232840Z,RELEASE-2022
beaec504-522a-4e9f-af44-182a3f77b43a,HARV_013.basePlot.bgc,D01,HARV,HARV_013,distributed,2018-04-18T15:03Z,NEON.DOC.014048vK,HARV_013-M-30-30.5-20180418,A00000001264,HARV_013-M-30-30.5-20180418-KCL,B00000006280,HARV_013-M-30-30.5,tInitial,0,2018-04-19T15:46Z,HARV-20180419-BRef1,10.08,100,2018-04-19T18Z,OK,,scook@battelleecology.org,dmikros@battelleecology.org,,20211221T232840Z,RELEASE-2022
5e6d402b-f180-4e73-8ce2-7d73955c4118,HARV_033.basePlot.bgc,D01,HARV,HARV_033,tower,2018-04-18T15:14Z,NEON.DOC.014048vK,HARV_033-O-0-32.5-20180418,A00000001241,HARV_033-O-0-32.5-20180418-KCL,B00000006327,HARV_033-O-0-32.5,tInitial,0,2018-04-19T15:21Z,HARV-20180419-BRef1,10.25,100,2018-04-19T19Z,OK,,scook@battelleecology.org,dmikros@battelleecology.org,,20211221T232840Z,RELEASE-2022
8d406505-2a1e-427c-a76a-8a27bce701ed,HARV_013.basePlot.bgc,D01,HARV,HARV_013,distributed,2018-04-18T15:15Z,NEON.DOC.014048vK,HARV_013-O-24.5-7.5-20180418,A00000001266,HARV_013-O-24.5-7.5-20180418-KCL,B00000006274,HARV_013-O-24.5-7.5,tInitial,0,2018-04-19T15:24Z,HARV-20180419-BRef1,10.14,100,2018-04-19T18Z,OK,,scook@battelleecology.org,dmikros@battelleecology.org,,20211221T232840Z,RELEASE-2022
6ecd766a-c3aa-4566-87e7-7aa09a9a5dee,HARV_013.basePlot.bgc,D01,HARV,HARV_013,distributed,2018-04-18T15:27Z,NEON.DOC.014048vK,HARV_013-M-24.5-7.5-20180418,A00000001265,HARV_013-M-24.5-7.5-20180418-KCL,B00000006281,HARV_013-M-24.5-7.5,tInitial,0,2018-04-19T17:11Z,HARV-20180419-BRef1,10.21,100,2018-04-19T19Z,OK,,scook@battelleecology.org,dmikros@battelleecology.org,,20211221T232840Z,RELEASE-2022
aeec0637-f5fc-4821-bc56-1f4ec47b4e7e,HARV_033.basePlot.bgc,D01,HARV,HARV_033,tower,2018-04-18T15:30Z,NEON.DOC.014048vK,HARV_033-M-0-32.5-20180418,A00000001259,HARV_033-M-0-32.5-20180418-KCL,B00000006290,HARV_033-M-0-32.5,tInitial,0,2018-04-19T17:41Z,HARV-20180419-BRef1,10.33,100,2018-04-19T20Z,OK,,scook@battelleecology.org,dmikros@battelleecology.org,,20211221T232840Z,RELEASE-2022
d9e56fc9-5527-4fc7-901c-3025b9230d2c,HARV_004.basePlot.bgc,D01,HARV,HARV_004,distributed,2018-04-18T16:22Z,NEON.DOC.014048vK,HARV_004-O-0.5-26.5-20180418,A00000001248,HARV_004-O-0.5-26.5-20180418-KCL,B00000006270,HARV_004-O-0.5-26.5,tInitial,0,2018-04-19T16:54Z,HARV-20180419-BRef1,10.25,100,2018-04-19T20Z,OK,,scook@battelleecology.org,dmikros@battelleecology.org,,20211221T232840Z,RELEASE-2022
598837a6-42d9-4d63-9d22-e797201b68ee,HARV_004.basePlot.bgc,D01,HARV,HARV_004,distributed,2018-04-18T16:31Z,NEON.DOC.014048vK,HARV_004-M-0.5-26.5-20180418,A00000001231,HARV_004-M-0.5-26.5-20180418-KCL,B00000006324,HARV_004-M-0.5-26.5,tInitial,0,2018-04-19T14:31Z,HARV-20180419-BRef1,9.97,100,2018-04-19T18Z,OK,,scook@battelleecology.org,dmikros@battelleecology.org,,20211221T232840Z,RELEASE-2022
e5a6a6af-63ff-45e7-982b-c186e10d2750,HARV_033.basePlot.bgc,D01,HARV,HARV_033,tower,2018-04-18T16:36Z,NEON.DOC.014048vK,HARV_033-O-31.5-30-20180418,A00000001280,HARV_033-O-31.5-30-20180418-KCL,B00000006325,HARV_033-O-31.5-30,tInitial,0,2018-04-19T15:08Z,HARV-20180419-BRef1,10.18,100,2018-04-19T18Z,OK,,scook@battelleecology.org,dmikros@battelleecology.org,,20211221T232840Z,RELEASE-2022
242db419-d826-489f-a525-47714a71e46e,HARV_033.basePlot.bgc,D01,HARV,HARV_033,tower,2018-04-18T16:40Z,NEON.DOC.014048vK,HARV_033-M-31.5-30-20180418,A00000001240,HARV_033-M-31.5-30-20180418-KCL,B00000006292,HARV_033-M-31.5-30,tInitial,0,2018-04-19T17:51Z,HARV-20180419-BRef1,10.04,100,2018-04-19T20Z,OK,,scook@battelleecology.org,dmikros@battelleecology.org,,20211221T232840Z,RELEASE-2022
8d4c06a7-cad3-43db-b155-87c21d76c0b9,HARV_004.basePlot.bgc,D01,HARV,HARV_004,distributed,2018-04-18T16:53Z,NEON.DOC.014048vK,HARV_004-O-36-30.5-20180418,A00000001249,HARV_004-O-36-30.5-20180418-KCL,B00000006306,HARV_004-O-36-30.5,tInitial,0,2018-04-19T16:48Z,HARV-20180419-BRef1,10.24,100,2018-04-19T20Z,OK,,scook@battelleecology.org,dmikros@battelleecology.org,,20211221T232840Z,RELEASE-2022
