uid,siteID,extractionStartDate,extractionEndDate,kclReferenceID,kclBlank1ID,kclBlank1Code,kclBlank2ID,kclBlank2Code,kclBlank3ID,kclBlank3Code,remarks,dataQF,publicationDate,release
fc64b12a-bc41-4a6a-93ae-04da7910cc8d,HARV,2018-04-18,2018-04-18,HARV-20180418-BREF1,HARV-20180418-BREF1-A,B00000006251,HARV-20180418-BREF1-B,B00000006261,HARV-20180418-BREF1-C,B00000006262,,,20211221T232840Z,RELEASE-2022
1b3466e1-db88-44b8-ad09-dfc80f0ccf50,HARV,2018-04-19,2018-04-19,HARV-20180419-BREF1,HARV-20180419-BREF1-A,B00000006250,HARV-20180419-BREF1-B,B00000006258,HARV-20180419-BREF1-C,B00000006266,,,20211221T232840Z,RELEASE-2022
883413fb-4e71-426d-a558-d01f1dce18fb,HARV,2018-04-20,2018-04-20,HARV-20180420-BREF1,HARV-20180420-BREF1-A,B00000006248,HARV-20180420-BREF1-B,B00000006257,HARV-20180420-BREF1-C,B00000006267,,,20211221T232840Z,RELEASE-2022
16f16216-185b-4f68-8200-ca000f5d8bde,HARV,2018-05-08,2018-05-08,HARV-20180508-BREF1,HARV-20180508-BREF1-A,B00000006238,HARV-20180508-BREF1-B,B00000006239,HARV-20180508-BREF1-C,B00000006240,,,20211221T235224Z,RELEASE-2022
38ee35d2-05af-4860-8447-48efa97c3414,HARV,2018-05-10,2018-05-10,HARV-20180510-BREF1,HARV-20180510-BREF1-A,B00000006247,HARV-20180510-BREF1-B,B00000006256,HARV-20180510-BREF1-C,B00000006264,,,20211221T235224Z,RELEASE-2022
4d13d59f-ed05-4a79-abd3-ecf19d09a09f,HARV,2018-07-10,2018-07-10,HARV-20180710-BREF1,HARV-20180710-BREF1-A,B00000006246,HARV-20180710-BREF1-B,B00000006255,HARV-20180710-BREF1-C,B00000006265,,,20211221T223716Z,RELEASE-2022
2729b0ed-6208-4ac9-988f-7f9e9d120beb,HARV,2018-07-11,2018-07-11,HARV-20180711-BREF1,HARV-20180711-BREF1-A,B00000006245,HARV-20180711-BREF1-B,B00000006253,HARV-20180711-BREF1-C,B00000006263,,,20211221T223716Z,RELEASE-2022
11408519-399f-4580-815d-b66c7207a8b9,HARV,2018-07-12,2018-07-12,HARV-20180712-BREF1,HARV-20180712-BREF1-A,B00000006249,HARV-20180712-BREF1-B,B00000006254,HARV-20180712-BREF1-C,B00000006260,,,20211221T223716Z,RELEASE-2022
8939bd92-4273-4341-97a5-8f02be60a147,HARV,2018-07-13,2018-07-13,HARV-20180713-BREF1,HARV-20180713-BREF1-A,B00000006244,HARV-20180713-BREF1-B,B00000006252,HARV-20180713-BREF1-C,B00000006259,,,20211221T223716Z,RELEASE-2022
f2bccd27-a6dd-4b0a-8317-85a60a0b842c,HARV,2018-07-31,2018-07-31,HARV-20180731-BREF1,HARV-20180731-BREF1-A,B00000006242,HARV-20180731-BREF1-B,B00000006243,HARV-20180731-BREF1-C,B00000006241,,,20211221T223716Z,RELEASE-2022
